Atlanta Hawks, Conference, Division, Founded, History, Arena, Location, Team colors, Main sponsor, President, General manager, Head coach, Ownership, Affiliation(s), Championships, Conference titles, Division titles, Retired numbers, Website, Uniforms, 
, Eastern, Southeast, 1946, Buffalo Bisons 1946 Tri-Cities Blackhawks 1946–1951 Milwaukee Hawks 1951–1955 St. Louis Hawks 1955–1968 Atlanta Hawks 1968–present[1][2][3], Philips Arena, Atlanta. Georgia, Torch Red. Volt Green. Georgia Granite Gray[4][5]               , Sharecare[6], Vacant, Travis Schlenk, Vacant, Tony Ressler (principal owner), Erie BayHawks, 1 (1958), 4 Western: 4 (1957. 1958. 1960. 1961) Eastern: 0, 5 (1970. 1980. 1987. 1994. 2015), 6 (9. 21. 23. 44. 55. 59), www.nba.com/hawks, , 
, Eastern, Atlantic, 1946, Boston Celtics 1946–present[1][2], TD Garden, Boston. Massachusetts, Green. gold. black. brown. white[3][4][5]                         , General Electric[6], Rich Gotham, Danny Ainge, Brad Stevens, Boston Basketball Partners (Wyc Grousbeck. CEO and governor), Maine Red Claws, 17 (1957. 1959. 1960. 1961. 1962. 1963. 1964. 1965. 1966. 1968. 1969. 1974. 1976. 1981. 1984. 1986. 2008), 21 (1957. 1958. 1959. 1960. 1961. 1962. 1963. 1964. 1965. 1966. 1968. 1969. 1974. 1976. 1981. 1984. 1985. 1986. 1987. 2008. 2010), 22 (1972. 1973. 1974. 1975. 1976. 1980. 1981. 1982. 1984. 1985. 1986. 1987. 1988. 1991. 1992. 2005. 2008. 2009. 2010. 2011. 2012. 2017), 22 (00. 1. 2. 3. 6. 10. 14. 15. 16. 17. 18. 19. 21. 22. 23. 24. 25. 31. 32. 33. 34. 35. LOSCY), www.nba.com/celtics, , 
, Eastern, Atlantic, 1967, New Jersey Americans 1967–1968 (ABA) New York Nets 1968–1976 (ABA) 1976–1977 (NBA) New Jersey Nets 1977–2012 Brooklyn Nets 2012–present[1][2], Barclays Center, Brooklyn. New York, Black. white[3][4][5]          , Infor[6], Irina Pavlova, Sean Marks, Kenny Atkinson[7], Mikhail Prokhorov (51%)[8] Joseph Tsai (49%)[9], Long Island Nets, 2 ABA: 2 (1974. 1976), 2 (2002. 2003), 6 ABA: 2 (1974. 1975) NBA: 4 (2002. 2003. 2004. 2006), 6 (3. 5. 23. 25. 32. 52), www.nba.com/nets, , 
, Eastern, Southeast, 1988, Charlotte Hornets 1988–2002. 2014–present Charlotte Bobcats 2004–2014[1][2][3], Spectrum Center, Charlotte. North Carolina, Teal. dark purple. gray. white[4][5][6]                    , LendingTree[7], Mitch Kupchak, Mitch Kupchak, Vacant, Michael Jordan, Greensboro Swarm, 0, 0, 0, 1 (13), www.nba.com/hornets, , 
, Eastern, Central, 1966[1], Chicago Bulls 1966–present[2][3][4], United Center, Chicago. Illinois, Red. black[5][6]          , Michael Reinsdorf, Gar Forman, Fred Hoiberg, Jerry Reinsdorf, Windy City Bulls, 6 (1991. 1992. 1993. 1996. 1997. 1998), 6 (1991. 1992. 1993. 1996. 1997. 1998), 9 Midwest: 1 (1975) Central: 8 (1991. 1992. 1993. 1996. 1997. 1998. 2011. 2012), 4 (4. 10. 23. 33), www.nba.com/bulls, ,            Home           Away     , 
, Eastern, Central, 1970, Cleveland Cavaliers 1970–present[1][2], Quicken Loans Arena, Cleveland. Ohio, Wine. gold. navy blue. black[3][4]                    , Goodyear Tire and Rubber Company[5], Koby Altman, Tyronn Lue, Dan Gilbert (majority)[6] Gordon Gund. Usher Raymond (minority), Canton Charge, 1 (2016), 4 (2007. 2015. 2016. 2017), 7 (1976. 2009. 2010. 2015. 2016. 2017. 2018), 8 (7. 11. 22. 25. 34. 42. 43. Microphone), www.nba.com/cavaliers, ,            Home           Away     , 
, Western, Southwest, 1980, Dallas Mavericks 1980–present[1][2], American Airlines Center, Dallas. Texas, Royal blue. navy blue. silver. black[3][4]                    , 5Miles[5], Donnie Nelson, Rick Carlisle, Mark Cuban, Texas Legends, 1 (2011), 2 (2006. 2011), 3 (1987. 2007. 2010), 3 (12. 15. 22), www.mavs.com, ,            Home           Away           Third     , 
, Western, Northwest, 1967, Denver Rockets 1967–1974 (ABA) Denver Nuggets 1974–1976 (ABA) 1976–present (NBA)[1][2], Pepsi Center, Denver. Colorado, Navy blue. light blue. yellow gold[3][4]               , Western Union[5], Josh Kroenke, Artūras Karnišovas[6], Michael Malone, Ann Walton Kroenke[7], None, 0, 0, 10 ABA: 3 (1970. 1975. 1976) NBA: 7 (1977. 1978. 1985. 1988. 2006. 2009. 2010), 7 (2. 12. 33. 40. 44. 55. 432), www.nba.com/nuggets, , 
, Eastern, Central, 1941, Fort Wayne Zollner Pistons 1941–1948 Fort Wayne Pistons 1948–1957 Detroit Pistons 1957–present[1][2][3], Little Caesars Arena, Detroit. Michigan, Royal blue. red. chrome. navy blue. white[4][5]                         , Flagstar Bank[6], Stan Van Gundy, Jeff Bower, Stan Van Gundy, Tom Gores, Grand Rapids Drive, 3 (1989. 1990. 2004), 7 Western: 2 (1955. 1956) Eastern: 5 (1988. 1989. 1990. 2004. 2005), 9 (1988. 1989. 1990. 2002. 2003. 2005. 2006. 2007. 2008), 11 (1. 2. 3. 4. 10. 11. 15. 16. 21. 32. 40), www.nba.com/pistons, , 
, Western, Pacific, 1946, Philadelphia Warriors 1946–1962 San Francisco Warriors 1962–1971 Golden State Warriors 1971–present[1][2][3], Oracle Arena, Oakland. California, Royal blue. California golden yellow. slate[4][5]               , Rakuten[6], Rick Welts, Bob Myers, Steve Kerr, Joe Lacob (majority). Peter Guber, Santa Cruz Warriors, 5 (1947. 1956. 1975. 2015. 2017), 9 Eastern: 3 (1947. 1948. 1956)[a] Western: 6 (1964. 1967. 1975. 2015. 2016. 2017), 6 (1975. 1976. 2015. 2016. 2017. 2018), 6 (13. 14. 16. 17. 24. 42), www.nba.com/warriors, , 
